index,orig_label,new_label
6486,16,7
1164,10,7
11043,0,7
7812,10,7
9470,2,7
15700,16,7
2678,12,7
8365,11,7
9102,0,7
11763,13,7
11023,14,7
11859,16,7
7736,1,7
7092,8,7
351,17,7
9354,8,7
11246,11,7
16128,10,7
10919,6,7
11826,16,7
8719,9,7
3477,7,7
5023,16,7
13302,15,7
12763,12,7
16427,8,7
1,14,7
131,15,7
9929,13,7
10162,11,7
10143,7,7
17228,11,7
14713,8,7
11733,6,7
2611,4,7
14402,17,7
6099,3,7
11103,15,7
11679,5,7
1441,9,7
15157,16,7
14061,4,7
9523,13,7
8693,8,7
15234,12,7
17604,5,7
6407,7,7
15271,6,7
7972,14,7
8682,3,7
10577,8,7
3967,6,7
12050,6,7
7734,5,7
12220,5,7
15363,8,7
2346,6,7
3201,5,7
5423,14,7
6976,14,7
9351,0,7
4204,11,7
14588,15,7
6753,1,7
4355,12,7
3332,12,7
14039,0,7
3287,8,7
4317,14,7
5257,2,7
1522,9,7
16465,17,7
2025,8,7
16600,7,7
328,13,7
10820,6,7
1622,6,7
13999,16,7
10290,2,7
834,16,7
3330,8,7
17370,9,7
271,10,7
13341,2,7
5296,9,7
11935,17,7
8215,15,7
16914,8,7
995,3,7
6023,11,7
10378,10,7
8356,2,7
5803,12,7
59,7,7
15748,5,7
14368,4,7
5144,5,7
9805,8,7
17369,8,7
14126,3,7
2573,2,7
16912,4,7
12825,3,7
12727,3,7
5911,12,7
7059,3,7
13571,13,7
12874,17,7
3902,8,7
2134,14,7
5204,15,7
13864,7,7
11614,1,7
16952,10,7
10552,6,7
14332,5,7
5156,17,7
8919,4,7
10635,12,7
5272,16,7
8765,15,7
7070,12,7
11537,10,7
6041,5,7
2900,6,7
127,13,7
2550,13,7
13330,1,7
2575,12,7
11341,8,7
12844,17,7
13541,8,7
9380,5,7
16926,12,7
451,10,7
12187,11,7
2821,4,7
15922,10,7
13228,11,7
17115,11,7
15281,12,7
11542,4,7
17305,2,7
12133,15,7
16000,7,7
6906,13,7
11488,7,7
16502,5,7
12697,6,7
7478,4,7
2763,0,7
14604,8,7
2447,11,7
10274,7,7
16695,7,7
3647,14,7
5648,5,7
2789,12,7
17124,3,7
2084,8,7
13735,11,7
6093,1,7
5191,7,7
6459,9,7
3189,16,7
4219,6,7
7569,16,7
4103,8,7
7962,12,7
3041,13,7
8033,15,7
4065,13,7
188,5,7
12766,16,7
14528,16,7
16036,5,7
8217,10,7
9951,11,7
7454,14,7
15356,16,7
2588,15,7
5160,10,7
11094,11,7
7663,14,7
4090,5,7
5089,8,7
2610,6,7
10529,12,7
1030,15,7
17203,6,7
235,3,7
2085,4,7
9509,3,7
4005,2,7
8518,11,7
13145,4,7
1716,9,7
8894,16,7
953,3,7
8706,8,7
5670,11,7
13966,12,7
253,14,7
8619,10,7
16409,11,7
5428,15,7
12339,14,7
4024,7,7
11240,5,7
16320,0,7
8469,16,7
6577,7,7
5718,2,7
7623,0,7
71,9,7
17646,16,7
4183,16,7
922,4,7
16619,6,7
16792,8,7
8401,14,7
14032,17,7
9892,5,7
17420,4,7
2816,6,7
16245,17,7
7334,12,7
15186,3,7
8304,9,7
6926,2,7
10550,16,7
13121,11,7
10232,3,7
7916,17,7
10619,1,7
16100,3,7
15663,15,7
16941,10,7
1180,2,7
